Timestamp,Event
1740155685835,Mouse moved from (850, 439) to (852, 447) (inside window)
1740155685847,Mouse moved from (852, 447) to (854, 460) (inside window)
1740155685859,Mouse moved from (854, 460) to (854, 464) (inside window)
1740155685870,Mouse moved from (854, 464) to (853, 473) (inside window)
1740155685881,Mouse moved from (853, 473) to (848, 480) (inside window)
1740155685894,Mouse moved from (848, 480) to (842, 483) (inside window)
1740155685905,Mouse moved from (842, 483) to (818, 483) (inside window)
1740155685917,Mouse moved from (818, 483) to (804, 480) (inside window)
1740155685930,Mouse moved from (804, 480) to (772, 454) (inside window)
1740155685941,Mouse moved from (772, 454) to (766, 444) (inside window)
1740155685952,Mouse moved from (766, 444) to (756, 417) (inside window)
1740155685965,Mouse moved from (756, 417) to (756, 395) (inside window)
1740155685977,Mouse moved from (756, 395) to (756, 394) (inside window)
1740155685988,Mouse moved from (756, 394) to (764, 387) (inside window)
1740155686002,Mouse moved from (764, 387) to (790, 381) (inside window)
1740155686014,Mouse moved from (790, 381) to (843, 378) (inside window)
1740155686025,Mouse moved from (843, 378) to (863, 380) (inside window)
1740155686037,Mouse moved from (863, 380) to (901, 400) (inside window)
1740155686049,Mouse moved from (901, 400) to (909, 407) (inside window)
1740155686061,Mouse moved from (909, 407) to (922, 419) (inside window)
1740155686074,Mouse moved from (922, 419) to (934, 436) (inside window)
1740155686085,Mouse moved from (934, 436) to (936, 439) (inside window)
1740155686097,Mouse moved from (936, 439) to (943, 452) (inside window)
1740155686110,Mouse moved from (943, 452) to (944, 458) (inside window)
1740155686120,Mouse moved from (944, 458) to (944, 460) (inside window)
1740155686132,Mouse moved from (944, 460) to (942, 460) (inside window)
1740155686145,Mouse moved from (942, 460) to (937, 455) (inside window)
1740155686156,Mouse moved from (937, 455) to (936, 449) (inside window)
1740155686168,Mouse moved from (936, 449) to (935, 429) (inside window)
1740155686178,Mouse moved from (935, 429) to (935, 417) (inside window)
1740155686190,Mouse moved from (935, 417) to (941, 390) (inside window)
1740155686202,Mouse moved from (941, 390) to (948, 376) (inside window)
1740155686215,Mouse moved from (948, 376) to (965, 351) (inside window)
1740155686225,Mouse moved from (965, 351) to (975, 340) (inside window)
1740155686236,Mouse moved from (975, 340) to (985, 329) (inside window)
1740155686249,Mouse moved from (985, 329) to (1002, 316) (inside window)
1740155686262,Mouse moved from (1002, 316) to (1020, 302) (inside window)
1740155686275,Mouse moved from (1020, 302) to (1027, 298) (inside window)
1740155686286,Mouse moved from (1027, 298) to (1033, 295) (inside window)
1740155686298,Mouse moved from (1033, 295) to (1040, 292) (inside window)
1740155686311,Mouse moved from (1040, 292) to (1045, 290) (inside window)
1740155686323,Mouse moved from (1045, 290) to (1047, 290) (inside window)
1740155686335,Mouse moved from (1047, 290) to (1050, 288) (inside window)
1740155686346,Mouse moved from (1050, 288) to (1051, 288) (inside window)
1740155686356,Mouse moved from (1051, 288) to (1051, 287) (inside window)
1740155686370,Mouse moved from (1051, 287) to (1052, 287) (inside window)
1740155686392,Mouse clicked: [false, true, false, false, false]
1740155686474,Mouse clicked: [false, false, false, false, false]
1740155686486,Mouse moved from (1052, 287) to (1050, 287) (inside window)
1740155686591,Mouse moved from (1050, 287) to (1050, 289) (inside window)
1740155686604,Mouse moved from (1050, 289) to (1050, 300) (inside window)
1740155686617,Mouse moved from (1050, 300) to (1050, 321) (inside window)
1740155686628,Mouse moved from (1050, 321) to (1049, 330) (inside window)
1740155686655,Mouse moved from (1049, 330) to (1044, 354) (inside window)
1740155686668,Mouse moved from (1044, 354) to (1032, 393) (inside window)
1740155686680,Mouse moved from (1032, 393) to (1026, 409) (inside window)
1740155686691,Mouse moved from (1026, 409) to (1012, 437) (inside window)
1740155686703,Mouse moved from (1012, 437) to (1009, 442) (inside window)
1740155686713,Mouse moved from (1009, 442) to (1003, 453) (inside window)
1740155686724,Mouse moved from (1003, 453) to (994, 470) (inside window)
1740155686734,Mouse moved from (994, 470) to (992, 472) (inside window)
1740155686747,Mouse moved from (992, 472) to (988, 478) (inside window)
1740155686759,Mouse moved from (988, 478) to (986, 480) (inside window)
1740155686770,Mouse moved from (986, 480) to (985, 481) (inside window)
1740155686781,Mouse moved from (985, 481) to (985, 482) (inside window)
1740155686804,Mouse moved from (985, 482) to (985, 481) (inside window)
1740155686816,Mouse moved from (985, 481) to (985, 480) (inside window)
1740155686827,Mouse moved from (985, 480) to (985, 479) (inside window)
1740155686839,Mouse moved from (985, 479) to (987, 477) (inside window)
1740155686851,Mouse moved from (987, 477) to (989, 475) (inside window)
1740155686876,Mouse moved from (989, 475) to (990, 475) (inside window)
1740155686899,Mouse moved from (990, 475) to (990, 474) (inside window)
1740155686943,Mouse moved from (990, 474) to (991, 474) (inside window)
1740155687028,Mouse moved from (991, 474) to (991, 475) (inside window)
1740155687040,Mouse moved from (991, 475) to (992, 476) (inside window)
1740155687053,Mouse moved from (992, 476) to (992, 477) (inside window)
1740155687064,Mouse clicked: [false, true, false, false, false]
1740155687167,Mouse clicked: [false, false, false, false, false]
1740155687225,Mouse moved from (992, 477) to (992, 478) (inside window)
1740155687236,Mouse moved from (992, 478) to (992, 479) (inside window)
1740155687249,Mouse moved from (992, 479) to (992, 481) (inside window)
1740155687259,Mouse moved from (992, 481) to (992, 482) (inside window)
1740155687272,Mouse moved from (992, 482) to (993, 483) (inside window)
1740155687283,Mouse moved from (993, 483) to (993, 485) (inside window)
1740155687304,Mouse moved from (993, 485) to (993, 486) (inside window)
1740155687326,Mouse moved from (993, 486) to (993, 487) (inside window)
1740155687396,Mouse clicked: [false, true, false, false, false]
1740155687466,Mouse clicked: [false, false, false, false, false]
